"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Middle East & North Africa","MEA","2010","84.715",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Middle East & North Africa (excluding high income)","MNA","2010","83.746",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Middle East & North Africa (IDA & IBRD)","TMN","2010","83.483",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Middle income","MIC","2019","89.143",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Middle income","MIC","2010","83.557",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Middle income","MIC","2000","70.912",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Pre-demographic dividend","PRE","2019","81.359",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Pre-demographic dividend","PRE","2010","74.979",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Pre-demographic dividend","PRE","2000","68.971",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","South Asia","SAS","2019","84.738",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","South Asia","SAS","2000","55.475",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","South Asia (IDA & IBRD)","TSA","2019","84.738",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","South Asia (IDA & IBRD)","TSA","2000","55.475",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa","SSF","2019","82.099",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa","SSF","2010","73.247",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa","SSF","2000","67.567",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa (excluding high income)","SSA","2019","82.099",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa (excluding high income)","SSA","2010","73.247",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa (excluding high income)","SSA","2000","67.567",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa (IDA & IBRD)","TSS","2019","82.099",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa (IDA & IBRD)","TSS","2010","73.247",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Sub-Saharan Africa (IDA & IBRD)","TSS","2000","67.567",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Upper middle income","UMC","2019","97.929",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Upper middle income","UMC","2010","94.520",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Upper middle income","UMC","2000","87.736",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Upper middle income","UMC","1990","71.106",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","World","WLD","2019","87.632",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","World","WLD","2000","69.342",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2018","65.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2017","70.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2015","58.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2014","63.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2012","51.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2011","47.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2010","59.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2008","36.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2006","30.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2003","16.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Afghanistan","AFG","2000","36.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Albania","ALB","2018","88.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Albania","ALB","2009","97.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Albania","ALB","2005","97.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Albania","ALB","2002","90.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Albania","ALB","2000","95.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Algeria","DZA","2019","95.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Algeria","DZA","2013","92.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Algeria","DZA","2012","92.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Algeria","DZA","2006","89.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Algeria","DZA","2002","80.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Algeria","DZA","2000","79.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Algeria","DZA","1992","58.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Angola","AGO","2016","81.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Angola","AGO","2011","75.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Angola","AGO","2007","79.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Angola","AGO","2001","65.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Antigua and Barbuda","ATG","2008","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Antigua and Barbuda","ATG","2007","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Antigua and Barbuda","ATG","2005","99.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Antigua and Barbuda","ATG","2004","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Antigua and Barbuda","ATG","2002","92.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Antigua and Barbuda","ATG","2000","99.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Antigua and Barbuda","ATG","1998","82.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Argentina","ARG","2020","95.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Argentina","ARG","2012","98.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Argentina","ARG","2005","99.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Argentina","ARG","2001","97.500",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Argentina","ARG","1993","95.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Armenia","ARM","2016","99.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Armenia","ARM","2010","99.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Armenia","ARM","2005","93.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Armenia","ARM","2000","92.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Armenia","ARM","1997","82.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Australia","AUS","2008","98.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Australia","AUS","1991","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Austria","AUT","1993","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Azerbaijan","AZE","2011","91.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Azerbaijan","AZE","2006","76.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Azerbaijan","AZE","2001","70.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Azerbaijan","AZE","2000","66.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Azerbaijan","AZE","1997","98.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bahamas, The","BHS","2007","98.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bahamas, The","BHS","2006","98.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bahamas, The","BHS","1999","87.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bahrain","BHR","2007","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bahrain","BHR","1995","97.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2019","75.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2018","81.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2014","63.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2013","58.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2011","54.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2010","52.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2007","51.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2006","47.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2004","48.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2003","39.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2001","39.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","2000","33.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","1997","22.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bangladesh","BGD","1994","25.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Barbados","BRB","2012","93.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Barbados","BRB","2007","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Barbados","BRB","2006","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Barbados","BRB","2005","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Barbados","BRB","2004","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Barbados","BRB","2003","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Barbados","BRB","1999","89.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Barbados","BRB","1990","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belarus","BLR","2019","99.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belarus","BLR","2012","99.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belarus","BLR","2005","99.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belarus","BLR","1999","99.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","2016","97.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","2011","96.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","2006","94.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","2005","94.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","2002","98.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","2000","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","1999","95.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","1998","98.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Belize","BLZ","1991","96.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Benin","BEN","2018","83.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Benin","BEN","2014","82.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Benin","BEN","2012","83.500",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Benin","BEN","2006","84.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Benin","BEN","2001","81.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Benin","BEN","1996","77.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bhutan","BTN","2012","97.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bhutan","BTN","2010","97.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bhutan","BTN","2007","88.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bhutan","BTN","2000","51.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","2016","95.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","2012","90.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","2008","85.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","2004","79.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","2003","79.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","2000","82.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","1998","71.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","1994","52.500",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bolivia","BOL","1989","49.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bosnia and Herzegovina","BIH","2012","87.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bosnia and Herzegovina","BIH","2006","98.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Bosnia and Herzegovina","BIH","2000","99.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Botswana","BWA","2007","94.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Botswana","BWA","2000","96.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Botswana","BWA","1988","93.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","2015","97.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","2009","98.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","2007","96.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","2006","97.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","2005","97.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","2004","97.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","2003","96.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","1996","88.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brazil","BRA","1986","74.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","British Virgin Islands","VGB","2005","99.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","British Virgin Islands","VGB","1990","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brunei Darussalam","BRN","2009","99.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Brunei Darussalam","BRN","1994","100.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burkina Faso","BFA","2018","80.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burkina Faso","BFA","2015","92.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burkina Faso","BFA","2014","96.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burkina Faso","BFA","2010","94.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burkina Faso","BFA","2006","85.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burkina Faso","BFA","2003","73.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burkina Faso","BFA","1999","63.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burkina Faso","BFA","1993","60.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burundi","BDI","2017","99.200",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burundi","BDI","2012","96.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burundi","BDI","2010","98.900",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burundi","BDI","2005","92.400",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burundi","BDI","2000","78.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Burundi","BDI","1987","79.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cabo Verde","CPV","2018","98.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cabo Verde","CPV","2005","97.600",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cabo Verde","CPV","1998","99.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cambodia","KHM","2014","95.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cambodia","KHM","2011","89.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cambodia","KHM","2010","89.100",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cambodia","KHM","2006","69.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cambodia","KHM","2005","69.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cambodia","KHM","2000","37.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cambodia","KHM","1998","34.300",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cameroon","CMR","2018","87.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cameroon","CMR","2014","82.800",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cameroon","CMR","2011","84.700",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cameroon","CMR","2006","82.000",""
"Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","Cameroon","CMR","2004","83.300",""
